cy,fill,radius,cx
297.09,#1481e3,5.60,369.7100
261.23,#ffe62d,5.60,360.64
270.12,#1481e3,5.60,367.87
356.98,#ff84e2,5.60,255.82
272.81,#ffe62d,5.60,404.77
265.43,#ffe62d,5.60,406.0700
218.86,#ffe62d,5.60,401.0900
170.65,#ffe62d,5.60,343.64
162.55,#ffe62d,5.60,232.94
165.12,#ffe62d,5.60,225.89
129.07,#1481e3,5.60,280.62
123.32,#1481e3,5.60,334.39
95.46,#ffe62d,5.60,284.34
92.89,#ffe62d,5.60,291.39
91.08,#ff84e2,5.60,302.7
481.17,#ffe62d,5.60,269.1
488.56,#ffe62d,5.60,267.79
132.74,#ff84e2,5.60,150.26
493.69,#ffe62d,5.60,253.7
499.26,#ff84e2,5.60,263.71
501.82,#ff84e2,5.60,256.66
503.64,#ffe62d,5.60,245.3500
518.41,#ffe62d,5.60,242.74
280.24,#ff84e2,5.55,295.73
296.21,#ffe62d,5.55,321.5
282.19,#ff84e2,5.55,328.36
276.75,#ff84e2,5.55,362.2999
256.01,#ffe62d,5.55,223.06
334.02,#1481e3,5.55,363.1900
281.26,#ff84e2,5.55,387.89
151.54,#1481e3,5.55,256.87
401.74,#1481e3,5.55,272.11
161.76,#ff84e2,5.55,336.4099
156.49,#ffe62d,5.55,306.56
154.37,#ff84e2,5.55,337.7100
158.48,#ff84e2,5.55,231.4599
149.55,#ff84e2,5.55,331.97
161.05,#ff84e2,5.55,224.4100
411.25,#ff84e2,5.55,239.6499
116.11,#ff84e2,5.55,271.91
102.98,#ff84e2,5.55,326.99
100.72,#ff84e2,5.55,314.1900
471.22,#ffe62d,5.55,277.45
76.79,#ffe62d,5.55,221.68
476.04,#ffe62d,5.55,283.19
476.35,#ffe62d,5.55,263.35
478.61,#ffe62d,5.55,276.14
81.13,#ff84e2,5.55,311.05
479.67,#ff84e2,5.55,260.57
483.43,#ffe62d,5.55,281.89
72.99,#ffe62d,5.55,308.09
490.81,#ffe62d,5.55,280.59
485.11,#ff84e2,5.55,226.63
181.75,#ffe62d,5.55,104.2400
489.93,#ff84e2,5.55,232.38
496.25,#ffe62d,5.55,246.6499
290.64,#1481e3,5.49,311.49
261.40,#1481e3,5.49,296.85
349.28,#ff84e2,5.49,276.96
353.35,#ffe62d,5.49,278.44
358.17,#ffe62d,5.49,284.19
281.48,#ff84e2,5.49,216.37
289.40,#1481e3,5.49,390.85
264.99,#1481e3,5.49,381.9600
348.80,#1481e3,5.49,360.5900
286.83,#1481e3,5.49,397.9
263.92,#ff84e2,5.49,397.5399
242.52,#1481e3,5.49,405.7100
406.38,#ffe62d,5.49,341.64
228.50,#ffe62d,5.49,412.5800
156.18,#ffe62d,5.49,326.4
154.68,#ff84e2,5.49,317.87
209.66,#ff84e2,5.49,413.7000
151.05,#ffe62d,5.49,340.49
151.10,#ff84e2,5.49,232.76
170.25,#ffe62d,5.49,211.8
129.96,#ff84e2,5.49,328.8300
106.16,#ff84e2,5.49,280.26
88.51,#ff84e2,5.49,309.75
78.74,#ffe62d,5.49,254.31
482.23,#ff84e2,5.49,253.5199
484.80,#ff84e2,5.49,246.4700
484.35,#ffe62d,5.49,222.37
494.44,#ff84e2,5.49,257.96
496.69,#ff84e2,5.49,270.76
130.49,#ff84e2,5.49,137.4700
180.11,#ffe62d,5.49,51.7700
292.45,#ff84e2,5.43,300.17
286.13,#1481e3,5.43,285.9
259.59,#ffe62d,5.43,308.17
254.02,#1481e3,5.43,298.16
283.69,#ffe62d,5.43,336.89
326.37,#ffe62d,5.43,276.6
274.49,#ff84e2,5.43,349.51
284.89,#1481e3,5.43,365.26
222.04,#ffe62d,5.43,354.36
264.23,#ff84e2,5.43,377.7000
273.12,#ffe62d,5.43,384.9199
335.53,#ff84e2,5.43,371.72
259.10,#ff84e2,5.43,391.7899
265.51,#1481e3,5.43,190.6000
272.15,#ff84e2,5.43,185.0400
226.24,#ffe62d,5.43,399.7899
159.81,#ff84e2,5.43,303.78
155.74,#1481e3,5.43,302.29
234.07,#ff84e2,5.43,422.5900
214.48,#ff84e2,5.43,419.4500
148.05,#1481e3,5.43,323.4400
138.40,#1481e3,5.43,311.95
116.86,#1481e3,5.43,276.17
124.07,#ffe62d,5.43,338.6599
108.86,#1481e3,5.43,317.1599
95.90,#ff84e2,5.43,308.45
119.16,#ffe62d,5.43,181.2300
75.56,#ffe62d,5.43,301.04
489.31,#ff84e2,5.43,272.06
504.39,#ff84e2,5.43,249.61
511.78,#ff84e2,5.43,248.31
275.42,#ff84e2,5.37,289.99
267.28,#ffe62d,5.37,287.02
257.02,#ffe62d,5.37,315.2100
